name,code,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,tsvData.mapcolor7,tsvData.mapcolor8,tsvData.mapcolor9,tsvData.mapcolor13,population,iso_a3,iso_n3,continent,subregion,region,average
"Denmark","DNK",184.30541598412404,183.69121267374803,184.61825323992798,181.92035767565449,179.16066635878749,174.80214259354457,177.14610918100189,177.8617575064398,173.77233263960753,172.98564427553634,171.76127087232612,164.70711666629018,161.09772932351768,157.45591881242311,153.27008484642229,151.076056408713,151.57236187313475,151.66939109196662,4,1,3,12,5500510,"DNK",208,"Europe","Northern Europe","Europe & Central Asia",169.60410122350922
"Djibouti","DJI",143.96814913979659,141.73097155962881,140.32455657620858,139.23210691921946,138.64918093255929,137.06346430168691,135.93648809871306,134.68894415210113,133.26122740198173,132.61436060168018,131.50927555155616,131.12014606826514,130.91283524586689,130.72292430671496,131.29215049767737,130.91158848763862,131.101449406159,131.05458295085592,1,2,4,8,516055,"DJI",262,"Africa","Eastern Africa","Middle East & North Africa",134.78302234435054
"Dominica","DMA",157.14063396631371,155.55882373793403,156.67615067884543,156.5777950708389,156.36226339843569,154.829611767508,156.44734004243796,155.32773743591275,155.1442826650364,157.50640558202102,160.10790438282515,162.67490747788295,163.50531744538659,165.42282817549219,167.62423422018441,169.34975103160821,169.25227390201621,169.23603825664398,4,5,2,12,72660,"DMA",212,"North America","Caribbean","Latin America & Caribbean",160.48579440207354
"Dominican Republic","DOM",92.309443331286531,91.850502153192778,92.040427394442275,93.90709777181182,95.665520920528891,97.448211156526369,97.2099826891185,98.763773576095346,98.4965076754757,98.296952303476417,97.096317149458244,98.19167164544875,99.768920158460233,103.03788163570624,106.48166107055982,108.94763570930731,110.13194682980814,108.76367921994257,5,2,5,7,9650054,"DOM",214,"North America","Caribbean","Latin America & Caribbean",99.356007355035885
"East Asia","",155.20168037083749,154.44552181557316,153.93326090513514,153.81123652598731,152.31256980826237,147.69600386836035,142.38546987130007,139.84460264105212,139.00579576839007,138.99369478373939,138.89147131467402,138.86867922940274,138.46763314168408,136.66169936526293,138.34995571905998,140.75587133068197,140.97656419068275,138.20374715357076,,,,,,"",,"","","",143.8225254335365
"Eastern Europe","",151.48372287468456,150.54125614403674,151.52568875209511,151.62645164980083,150.06431859362996,154.38932739396787,147.15401181239667,144.93137442725606,146.96871785066645,142.49885846653754,143.60445892407108,137.23579837822021,134.96370218510725,132.86749612294494,132.29624986719492,135.69682395800487,131.05040457108433,126.99191932260381,,,,,,"",,"","","",142.54947673857239
"Eastern Sub-Saharan Africa","",129.31402616369064,126.52341227153831,124.81919731896021,123.448328731222,122.12879273872605,120.59555553969786,119.64029213950107,118.70368526840979,117.94259526504833,117.56114176005215,117.46180808553893,116.85742585973509,116.26632382519462,115.71374518594843,115.15460602228916,114.63347500047094,114.18019645996284,113.85352447662696,,,,,,"",,"","","",119.15545178403407
"Ecuador","ECU",109.06305366780678,105.31511185311976,111.780032458496,115.23994024048088,116.62371951992512,119.90460329575937,121.34973800618883,121.67395783424186,121.70862918840446,120.71632390163565,120.66515820053429,120.24998360809093,118.32423456914985,114.57788586215891,112.30210927460507,110.39437284317245,111.00706422634346,110.67351305763366,1,5,2,12,14573101,"ECU",218,"South America","South America","Latin America & Caribbean",115.64274620043041
"Egypt","EGY",72.79641533238717,75.830604255902429,77.6543415415555,78.977771019046784,79.334647919924947,79.752899000865568,80.804097612746432,79.825815919104571,80.3839555682933,82.4168249234234,81.889498880344121,81.1506343796677,80.946180798443621,78.971443685341214,78.68501701675693,79.880115870330314,80.114432849714973,79.9580918795725,4,6,7,2,83082869,"EGY",818,"Africa","Northern Africa","Middle East & North Africa",79.409599358523423
"El Salvador","SLV",95.1644607157602,93.889738426399774,95.481691138426925,96.657778621682382,99.715514706432813,101.42929639950043,99.158040092272117,103.63174737320736,100.7929692226225,101.80040964643713,100.16934288027583,99.774739931971709,96.577667883798128,96.77544242411625,98.840613759244334,98.929341214211433,98.692026813828548,98.148264541191736,1,4,6,8,7185218,"SLV",222,"North America","Central America","Latin America & Caribbean",98.6460603217433
